<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,10:55:00,108741,108741,108702,108718,118,0,0
20230703,10:56:00,108719,108733,108718,108726,52,0,0
20230703,10:57:00,108724,108727,108713,108722,60,0,0
20230703,10:58:00,108722,108734,108720,108723,90,0,0
20230703,10:59:00,108723,108751,108720,108748,103,0,0
20230703,11:00:00,108748,108752,108731,108745,95,0,0
20230703,11:01:00,108745,108772,108743,108762,86,0,0
20230703,11:02:00,108761,108779,108758,108768,84,0,0
20230703,11:03:00,108768,108770,108762,108767,48,0,0
20230703,11:04:00,108767,108784,108767,108782,65,0,0
20230703,11:05:00,108782,108796,108782,108788,43,0,0
20230703,11:06:00,108788,108795,108782,108783,65,0,0
20230703,11:07:00,108783,108786,108761,108763,60,0,0
20230703,11:08:00,108763,108772,108754,108772,45,0,0
20230703,11:09:00,108772,108781,108770,108777,25,0,0
20230703,11:10:00,108777,108786,108777,108786,20,0,0
20230703,11:11:00,108786,108811,108786,108810,47,0,0
20230703,11:12:00,108813,108832,108813,108832,53,0,0
20230703,11:13:00,108832,108847,108827,108841,101,0,0
20230703,11:14:00,108841,108848,108838,108844,60,0,0
20230703,11:15:00,108844,108868,108841,108846,82,0,0
20230703,11:16:00,108845,108855,108845,108853,51,0,0
20230703,11:17:00,108852,108852,108821,108826,69,0,0
20230703,11:18:00,108826,108832,108824,108826,34,0,0
20230703,11:19:00,108826,108834,108825,108825,46,0,0
20230703,11:20:00,108825,108843,108822,108836,43,0,0
20230703,11:21:00,108836,108840,108830,108836,40,0,0
20230703,11:22:00,108834,108849,108829,108849,42,0,0
20230703,11:23:00,108850,108862,108849,108851,31,0,0
20230703,11:24:00,108851,108851,108830,108838,33,0,0
20230703,11:25:00,108839,108846,108831,108840,38,0,0
20230703,11:26:00,108840,108850,108835,108836,27,0,0
20230703,11:27:00,108838,108854,108837,108850,46,0,0
20230703,11:28:00,108851,108874,108845,108872,34,0,0
20230703,11:29:00,108872,108882,108870,108876,34,0,0
20230703,11:30:00,108876,108880,108859,108862,46,0,0
20230703,11:31:00,108862,108866,108859,108865,31,0,0
20230703,11:32:00,108866,108876,108862,108876,38,0,0
20230703,11:33:00,108876,108876,108861,108866,46,0,0
20230703,11:34:00,108866,108886,108865,108871,61,0,0
20230703,11:35:00,108871,108881,108865,108866,68,0,0
20230703,11:36:00,108865,108875,108865,108873,65,0,0
20230703,11:37:00,108873,108892,108872,108880,59,0,0
20230703,11:38:00,108881,108886,108875,108877,66,0,0
20230703,11:39:00,108878,108887,108870,108876,50,0,0
20230703,11:40:00,108876,108881,108866,108871,57,0,0
20230703,11:41:00,108870,108878,108865,108866,36,0,0
20230703,11:42:00,108866,108875,108842,108846,52,0,0
20230703,11:43:00,108848,108856,108840,108855,49,0,0
20230703,11:44:00,108857,108871,108857,108868,33,0,0
20230703,11:45:00,108868,108889,108867,108886,52,0,0
20230703,11:46:00,108886,108891,108886,108891,23,0,0
20230703,11:47:00,108891,108891,108869,108871,48,0,0
20230703,11:48:00,108870,108879,108869,108879,25,0,0
20230703,11:49:00,108878,108880,108873,108879,29,0,0
20230703,11:50:00,108879,108880,108869,108871,35,0,0
20230703,11:51:00,108871,108871,108855,108861,52,0,0
20230703,11:52:00,108860,108869,108837,108840,61,0,0
20230703,11:53:00,108841,108866,108841,108862,50,0,0
20230703,11:54:00,108863,108865,108850,108851,42,0,0
20230703,11:55:00,108851,108859,108845,108858,42,0,0
20230703,11:56:00,108858,108863,108854,108854,33,0,0
20230703,11:57:00,108854,108865,108846,108861,61,0,0
